Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-09-04 00:00:00+02:00,2.1391229391621907,2.1391229391621907,1.816789388656616,1.8167893886566162,0,0.0,0.0
2001-09-05 00:00:00+02:00,1.875395534477661,1.875395534477661,1.816789388656616,1.8167893886566162,39600,0.0,0.0
2001-09-06 00:00:00+02:00,1.640971189107325,1.640971189107325,1.6116679906845093,1.6116679906845093,144900,0.0,0.0
2001-09-07 00:00:00+02:00,1.6116674963279682,1.6116674963279682,1.523758053779602,1.523758053779602,1188000,0.0,0.0
2001-09-10 00:00:00+02:00,1.5530618359555906,1.5530618359555906,1.347940454277206,1.4065464735031128,238500,0.0,0.0
2001-09-11 00:00:00+02:00,1.4124069030114095,1.4182674666486088,1.3479403257369995,1.3479403257369995,241200,0.0,0.0
2001-09-12 00:00:00+02:00,1.1721224886465815,1.2893345488785781,1.1721224886465815,1.1838434934616089,239688,0.0,0.0
2001-09-13 00:00:00+02:00,1.201424621535601,1.3186372551496228,1.201424621535601,1.2893339395523071,4062024,0.0,0.0
2001-09-14 00:00:00+02:00,1.318637258598592,1.318637258598592,1.2483096279442139,1.2600306272506714,329400,0.0,0.0
2001-09-17 00:00:00+02:00,1.2600306272506716,1.2658918185566677,1.2600306272506716,1.2600306272506714,284850,0.0,0.0
2001-09-18 00:00:00+02:00,1.2600306272506716,1.2600306272506716,1.2600306272506716,1.2600306272506714,237042,0.0,0.0
2001-09-19 00:00:00+02:00,1.2893339429246318,1.2893339429246318,1.2600306272506716,1.2600306272506714,189000,0.0,0.0
2001-09-20 00:00:00+02:00,1.2893339121702359,1.2893339121702359,1.2307279109954834,1.2307279109954834,207900,0.0,0.0
2001-09-21 00:00:00+02:00,1.2307278822443106,1.2307278822443106,1.113515756877966,1.1721218824386597,252900,0.0,0.0
2001-09-24 00:00:00+02:00,1.318637490272522,1.318637490272522,1.260030848627889,1.318637490272522,380700,0.0,0.0
2001-09-25 00:00:00+02:00,1.3479403257369995,1.3479403257369995,1.3479403257369995,1.3479403257369995,185400,0.0,0.0
2001-09-26 00:00:00+02:00,1.4065464735031128,1.4065464735031128,1.4065464735031128,1.4065464735031128,185400,0.0,0.0
2001-09-27 00:00:00+02:00,1.4065465788192668,1.435849905014038,1.4065465788192668,1.435849905014038,192600,0.0,0.0
2001-09-28 00:00:00+02:00,1.435849905014038,1.435849905014038,1.435849905014038,1.435849905014038,0,0.0,0.0
2001-10-01 00:00:00+02:00,1.2893341694502056,1.3479403080745556,1.2893341694502056,1.318637490272522,250200,0.0,0.0
2001-10-02 00:00:00+02:00,1.3244981974929444,1.4065464735031128,1.3244981974929444,1.4065464735031128,6300,0.0,0.0
2001-10-03 00:00:00+02:00,1.4124069030114095,1.4124069030114095,1.3479403257369995,1.3479403257369995,360000,0.0,0.0
2001-10-04 00:00:00+02:00,1.523758053779602,1.523758053779602,1.3479400489681954,1.523758053779602,261900,0.0,0.0
2001-10-05 00:00:00+02:00,1.5237585119549264,1.5237585119549264,1.4065464735031128,1.4065464735031128,207000,0.0,0.0
2001-10-08 00:00:00+02:00,1.4651520521758,1.523758053779602,1.4651520521758,1.523758053779602,311400,0.0,0.0
2001-10-09 00:00:00+02:00,1.5237583976814248,1.5237583976814248,1.465152382850647,1.465152382850647,477900,0.0,0.0
2001-10-10 00:00:00+02:00,1.4944557046537232,1.4944557046537232,1.465152382850647,1.465152382850647,70560,0.0,0.0
2001-10-11 00:00:00+02:00,1.494455337524414,1.5237580233535903,1.494455337524414,1.494455337524414,28800,0.0,0.0
2001-10-12 00:00:00+02:00,1.4944558167296838,1.5237585119549264,1.4065464735031128,1.4065464735031128,40500,0.0,0.0
2001-10-15 00:00:00+02:00,1.465152382850647,1.465152382850647,1.289334212603238,1.465152382850647,22068,0.0,0.0
2001-10-16 00:00:00+02:00,1.465152382850647,1.465152382850647,1.465152382850647,1.465152382850647,0,0.0,0.0
2001-10-17 00:00:00+02:00,1.5823649168014526,1.5823649168014526,1.5823649168014526,1.5823649168014526,9000,0.0,0.0
2001-10-18 00:00:00+02:00,1.465152382850647,1.465152382850647,1.465152382850647,1.465152382850647,7200,0.0,0.0
2001-10-19 00:00:00+02:00,1.465152382850647,1.465152382850647,1.465152382850647,1.465152382850647,1800,0.0,0.0
2001-10-22 00:00:00+02:00,1.4065464735031128,1.4065464735031128,1.4065464735031128,1.4065464735031128,105183,0.0,0.0
2001-10-23 00:00:00+02:00,1.4065464735031128,1.4065464735031128,1.4065464735031128,1.4065464735031128,14400,0.0,0.0
2001-10-24 00:00:00+02:00,1.4651526024333406,1.4651526024333406,1.435849905014038,1.435849905014038,15219,0.0,0.0
2001-10-25 00:00:00+02:00,1.4651526024333406,1.4651526024333406,1.435849905014038,1.435849905014038,468000,0.0,0.0
2001-10-26 00:00:00+02:00,1.435849905014038,1.435849905014038,1.435849905014038,1.435849905014038,0,0.0,0.0
2001-10-29 00:00:00+01:00,1.4651526024333406,1.4651526024333406,1.435849905014038,1.435849905014038,18000,0.0,0.0
2001-10-30 00:00:00+01:00,1.4124070376991782,1.4124070376991782,1.4065464735031128,1.4065464735031128,45000,0.0,0.0
2001-10-31 00:00:00+01:00,1.465152382850647,1.465152382850647,1.465152382850647,1.465152382850647,22500,0.0,0.0
2001-11-01 00:00:00+01:00,1.465152480454318,1.465152480454318,1.3831042051315308,1.3831042051315308,0,0.0,0.0
2001-11-02 00:00:00+01:00,1.4944559286281116,1.4944559286281116,1.435849905014038,1.435849905014038,0,0.0,0.0
2001-11-05 00:00:00+01:00,1.4358499066853074,1.4358499066853074,1.3538009956607464,1.3772437572479248,24300,0.0,0.0
