Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-11-24 23:00:00,93.8690205891927,93.8690205891927,86.63507640403695,90.42428588867188,,15999846,0.0,0.0
2020-11-25 23:00:00,90.85488183418528,90.88932997118523,87.90963510894684,89.99369812011719,,1948693,0.0,0.0
2020-11-26 23:00:00,88.18520664794123,90.16592509118428,88.18520664794123,89.47698211669922,,1431862,0.0,0.0
2020-11-29 23:00:00,89.5631103977857,89.90758521337777,88.27133476704842,88.87416076660156,,1353870,0.0,0.0
2020-11-30 23:00:00,88.52967783220642,89.56309553720419,88.2713201208022,88.70191192626953,,955964,0.0,0.0
2020-12-01 23:00:00,88.70191017568722,91.88828684513668,88.35743542404985,91.80216979980467,,1789460,0.0,0.0
2020-12-02 23:00:00,92.14664455144204,92.14664455144204,90.59651145422862,91.80216979980467,,787844,0.0,0.0
2020-12-03 23:00:00,91.80217741693836,92.14665219715792,91.37158558424134,91.45770263671876,,290102,0.0,0.0
2020-12-06 23:00:00,91.45771252583155,94.90244755987888,91.37159546404251,94.64409637451172,,420484,0.0,0.0
2020-12-07 23:00:00,94.73020935058594,95.33303532742006,94.64409229251112,94.73020935058594,,498122,0.0,0.0
2020-12-08 23:00:00,95.16079958350258,97.31375885009766,94.90244184338708,97.31375885009766,,732024,0.0,0.0
2020-12-09 23:00:00,97.31375885863169,99.03612627205878,95.07468253523848,96.62480926513672,,318890,0.0,0.0
2020-12-10 23:00:00,96.53868970475108,97.2276392803778,94.9024393903702,95.5052719116211,,441451,0.0,0.0
2020-12-13 23:00:00,95.5913914368216,97.57211659021316,95.5913914368216,97.31375885009766,,302327,0.0,0.0
2020-12-14 23:00:00,98.174946116981,98.43330386646568,97.22764531938802,97.74435424804688,,439538,0.0,0.0
2020-12-15 23:00:00,97.74435711415984,99.98343358421064,97.74435711415984,99.72508239746094,,329881,0.0,0.0
2020-12-16 23:00:00,99.81118976349111,103.85875042882972,99.81118976349111,102.82533264160156,,329864,0.0,0.0
2020-12-17 23:00:00,103.16980447138566,109.62868188227434,103.16980447138566,107.64795684814452,,532712,0.0,0.0
2020-12-20 23:00:00,107.0451344543348,110.05927734566012,105.06440935476844,108.07855224609376,,927951,0.0,0.0
2020-12-21 23:00:00,108.07855174677172,109.7148020514223,108.07855174677172,109.6286849975586,,540372,0.0,0.0
2020-12-22 23:00:00,109.9731459561424,119.1016976101444,109.62867776341824,116.08755493164062,,282231,0.0,0.0
2020-12-27 23:00:00,116.25981071517208,122.11586306820875,116.25981071517208,117.80994415283205,,410412,0.0,0.0
2020-12-28 23:00:00,118.41275533040364,120.7379486251312,111.26492819869893,116.25979614257812,,384129,0.0,0.0
2020-12-29 23:00:00,116.25979617757308,116.25979617757308,109.62868450519846,111.17881774902344,,597196,0.0,0.0
2021-01-03 23:00:00,111.35105020436924,112.12611024447564,105.23664094354788,105.58111572265624,,614889,0.0,0.0
2021-01-04 23:00:00,110.23151397156536,111.52328952591964,109.88703917634216,110.92046356201172,,468085,0.0,0.0
2021-01-06 23:00:00,112.29833899326788,117.12097253016962,108.76749402930344,114.70965576171876,,1043654,0.0,0.0
2021-01-07 23:00:00,114.7096613682353,116.51815231811956,111.95387627272302,113.07341766357422,,1325182,0.0,0.0
2021-01-10 23:00:00,113.07342282489572,115.05414796979494,108.50914657115936,110.23151397705078,,305619,0.0,0.0
2021-01-11 23:00:00,110.23151344476744,112.7289409150023,110.23151344476744,111.09269714355467,,182407,0.0,0.0
